ranking,team,PTS,PJ,PG,PE,PP,GF,GC,DG,Season
1,Real Madrid,86,38,26,8,4,80,31,49,21-22
2,Barcelona,73,38,21,10,7,68,38,30,21-22
3,Ath Madrid,71,38,21,8,9,65,43,22,21-22
4,Sevilla,70,38,18,16,4,53,30,23,21-22
5,Betis,65,38,19,8,11,62,40,22,21-22
6,Sociedad,62,38,17,11,10,40,37,3,21-22
7,Villarreal,59,38,16,11,11,63,37,26,21-22
8,Ath Bilbao,55,38,14,13,11,43,36,7,21-22
9,Valencia,48,38,11,15,12,48,53,-5,21-22
10,Osasuna,47,38,12,11,15,37,51,-14,21-22
11,Celta,46,38,12,10,16,43,43,0,21-22
12,Vallecano,42,38,11,9,18,39,50,-11,21-22
13,Elche,42,38,11,9,18,40,52,-12,21-22
14,Espanol,42,38,10,12,16,40,53,-13,21-22
15,Getafe,39,38,8,15,15,33,41,-8,21-22
16,Mallorca,39,38,10,9,19,36,63,-27,21-22
17,Cadiz,39,38,8,15,15,35,51,-16,21-22
18,Granada,38,38,8,14,16,44,61,-17,21-22
19,Levante,35,38,8,11,19,51,76,-25,21-22
20,Alaves,31,38,8,7,23,31,65,-34,21-22
